The Shawshank Redemption,Frank Darabont,Drama,9.3,9.1,1994,"Why do I want to write the 234th comment on The Shawshank Redemption? I am not sure - almost everything that could be possibly said about it has been said. But like so many other people who wrote comments, I was and am profoundly moved by this simple and eloquent depiction of hope and friendship and redemption. The only other movie I have ever seen that effects me as strongly is To Kill a Mockingbird. Both movies leave me feeling cleaner for having watched them.I didn't intend to see this movie at all: I do not like prison movies and I don't normally watch them. I work at a branch library and one day as I was checking The Shawshank Redemption out to one of our older patrons, she said to me, ""Whenever I feel down or depressed, I check out this movie and watch it and it always makes me feel better."" At the time, I thought that was very strange. One day there was nothing on TV except things I absolutely would not watch under any circumstance or things that I had seen too many times already. I remembered what she said, so I watched it. I have watched it many many times since then and it gets better with every showing.No action, no special effects - just men in prison uniforms talking to each other.The Shawshank Redemption and To Kill a Mockingbird are the best movies I have ever seen. I do not judge it by it's technical merits - I don't really care about that. I have read that Citizen Kane or The Godfather or this or that movie is the best movie ever made. They may have the best technique or be the most influential motion pictures ever made, but not the best. The best movies are ones that touch the soul. It takes a movie like The Shawshank Redemption to touch the soul."
The Godfather,Francis Ford Coppola,Crime,9.2,8.9,1972,"'The Godfather' is the pinnacle of flawless films! The first time I viewed 'The Godfather' I was in my early teens and it was the most astounding film I had ever seen, and has since then stood as my all-time favourite film. It is due to this that I have been looking forward to writing a review of this unforgettable classic. So let's start from the beginning. The film opens to four words, 'I believe in America', it's crazy to think that this simple line has become a resonant quote solely due to the impact it made on the entrance to the film's ""threshold"". This is just one of the many renowned quotes that litter the film, and believe me, there are a lot. After the first take we are then absorbed into the life of Vito Corleone, brilliantly portrayed by the Oscar- winning performance of Marlon Brando. Vito is a feared man, he is a criminal, he is a mafioso, but above all he is a respected family man, his three sons are depicted by three excellent actors, James Caan, John Cazale and Al Pacino as well as his adopted child Tom Hagen, played by Robert Duvall. The film follows Vito as he attempts to transfer his crime empire to his reluctant son, Michael. With some of the most graphic and gruesome death scenes to have ever been seen in the 1970's film industry (including a certain horse's head), 'The Godfather' epitomises how violence can be used effectively within a film. The Corleone's are some of the greatest antiheroes to have ever been seen on screen, whilst they are villains, the audience will refuse to accept that fact, Coppola does something simple and audacious, he takes the guilt out of organised crime. A film rife with beautiful cinematography, memorable musical scores and well-paced action and drama. Overall, The Godfather is one of Hollywood's greatest critical and commercial successes that gets everything right; a gangster flick that is overflowing with life, rich with emotion and subtle acting, and further blessed with amazing direction from Francis Ford Coppola. Arguably the most unforgettable masterpiece to have ever been made."
The Godfather: Part II,Francis Ford Coppola,Crime,9,8.8,1974,"Coppola's masterpiece is rivaled only by ""The Godfather, Part II"" in which the 1940s setting of the first movie is extended backwards and forwards to reveal the corrupting effect of power...The film, breathtaking in its scope and tragic grandeur, shows two parallel stories extending two different time periods: the early career of young Vito Corleone seen first around the turn of the 20th century in Sicily, and then in 1917, building his criminal underworld in the Italian ghettos of New York City, post World War I, plus that of his son, Michael (Al Pacino) desperately trying to keep his family together...Al Pacino's performance is quiet and solemn... He is cold and ruthless, with a whole contrast from the idealistic innocent war hero we initially met at the beginning of the first film... Here he's a calculating and frightening force, seeking to expand casinos into Pre-Revolutionary Cuba and consolidating an empire surrounded by perfidy and treason, maintaining total confidence in his ability to control the situation whether testifying before enraging Senators or trying to outface his worst enemies...The film's haunting final shot of a lonely, isolated paranoid Michael in his empty compound, is an unforgettable movie scene, a tragic portrait of a lonely and fully damned person, emotionally empty and finished, far from a waspish wife, more distant from a faithful lawyer...De Niro's rise, from an orphan child by a family feud back in Italy to a hood in New York and his position as a respected Don, provides a welcome break from Pacino's relentless attitude... Since the people he kills seem to deserve it, Vito comes off better than Michael does, and it was wise of Coppola to shuffle the two stories together despite lengthy flashbacks and the disturbance of continuity...The entire cast contributes greatly to the success of the film: Lee Strasberg, a fascinating mixture of lust and ruthlessness; G. D. Spradlin, absolutely right as the sinister and corrupt Nevada Senator; Michael V. Gazzo, unforgettable as the troubled gray-haired informer; Gastone Moschin, excellent as the blackmailer in white suit; John Cazale, marvelously timid as the vague, confused, and hesitant Fredo; Diane Keaton, clearly irrational as the long-suffering wife Kay; Talia Shire, too extravagant as the lousy mother; Troy Donahue too ambitious as the fortune-hunting suitor; and Robert Duvall excels as the confidant, and retainer to the all-powerful Corleone family...Coppola's motion picture is not just a mere supply with new characters and events from the original, it's a far more complex and intimate movie than its predecessor... It is not really a sequel... It's just more... It cleverly shifts in time between two distinct narratives with extreme realistic violence and criminal mentality of gangsters..."
The Dark Knight,Christopher Nolan,Action,9,8.9,2008,"First I'd controversially like to point out that this movie wouldn't have gotten as much hype as it did if it wasn't for Heath Ledgers death before the release and the Academy not being afraid to give an Oscar to a corpse. Nevertheless his performance is easily the best one in the superhero genre and the crafty, well put together New York accent confirms he put a lot of dedication and effort into his methodical role and deserved what he got (an Oscar). This isn't just another Batman movie anymore. Yes, there is action, explosions and stunt work but between that is masterfully crafted dialogue that dwells deep. Batman is his definitive self now, we finally see the fullest of his character and Christian Bale does him justice. Christopher Nolan, praised be created complex characters and given each one justifiable treatment. That's the reason the cast works, everyone holds their own, there are no lazily written or neglected characters. With beautiful cinematography and presentation of Gotham, the visuals and obviously the endeavours cast The Dark Knight is a film that easily gets on top of every superhero list and is certainly one to remember... remember for a long time. Final Grade: 9/10"
12 Angry Men,Sidney Lumet,Drama,8.9,8.8,1957,"An excellent courtroom drama with a unique twist. Instead of following the trial itself, the viewer has a unique chance to observe the events behind the closed doors of a jury room. The film begins with the end of the trial. The jurors retire to deliberate the case. A preliminary vote is taken and the result is 11:1 in favour of the guilty verdict. Eleven jurors have raised their hands to convict a young man of killing his father. Only Juror #8 has doubts. At first even he does not truly believe the young man to be innocent but notes (rightfully) that the case for the defence might have been presented in a more convincing manner and that the boy might be given the benefit of a doubt. Since the boy is to be executed if found guilty his life is now in the hands of the jury and juror #8 reasons that the least they could do is talk about the case a bit. As time goes on some of the jurors change their minds and find that there is perhaps enough reasonable doubt not to convict the young man after all. But not everyone is easy to convince.Although the plot of the film is excellent and it is fascinating to see what little things can influence which way a verdict goes, where this film really succeeds is in presenting the characters of the 12 jurors. The character of each of the jurors emerges through a wonderful mix of perfect casting, excellent dialogue and near-flawless acting.Juror #1 - a simple man who clearly does not understand the full complexity of the task that lies before him but is trying to do everything not to let anyone else find this out. He appears at ease only once during the film - when he talks about football. He has the misfortune to be selected foreman of the jury - a task he clearly does not relish.Juror #2 - a small, quite man, clearly unaccustomed to giving his own opinion much less to expecting his views to be of any importance. Apparently he finds solace in his job - he is an accountant.Juror #3 - probably the most complex personality in the film. Starts off like a pleasant self-made successful businessman, he analyses the case impartially, explains his arguments well and is reasonably self assured. As time goes on he becomes more and more passionate and seems to be somehow personally involved with the case. He also starts to show some signs of slight mental instability. Wonderfully played by Lee J. Cobb - this is the character you remember after the film is over.Juror #4 - self assured, slightly arrogant stockbroker. Obviously considers himself more intelligent than anyone else in the room, he approaches the case with cool heartless logic but (as one of the jurors says - ""this is not an exact science"") he does not take into account the feelings, the passions, the characters of the people involved in the case. He is conspicuous by the fact that he is the only juror that does not take his jacket off (it is a very hot day).Juror #5 - here is a man under great emotional stress. He comes from the same social background as the accused boy - with who he almost unwillingly seems to identify with. Paradoxically this appears one of the main reasons for him voting guilty - he does not want compassion to influence him - so ironically it does.Juror #6 - a simple man, quite readily admitting that everyone in the room is better qualified than he is to make decisions and offer explanations. But he really wants to see justice done and it worries him that he might make a mistake.Juror #7 - the only one that really has no opinion on this case. Literally throughout the film his thoughts are never on the case - he talks of baseball, of the heat, of fixing the fan but the only reason he has for voting this way or that is to speed things up a bit so he might be out of the jury room as soon as possible. Not an evil man he just has no sense of morality whatsoever - he can tell right from wrong but does not seem to think it's worth the bother.Juror #8- a caring man, has put more thought into the case than any of the other jurors. He tries to do his best even in the face of seemingly impossible odds.Juror #9 - a wise old man with his great life experience has quite a unique way of looking at the case.Juror #10 - the most horrifying character in the film. Votes guilty and does not even try to hide the fact that he does so only because of the boy's social background. The tragedy comes from the fact that his own social position is only a cut above the boy's - which makes him all the more eager to accentuate the difference.Juror #11 - an immigrant watchmaker, careful methodical man, well mannered and soft spoken. respects the right of people to have different opinion to his - and is willing to look at both sides of the problem. Loses his temper only once - horrified by the complete indifference of juror #7.Juror #12 - a young business type - perhaps he has his own opinions - but is careful to hide them. What he has learnt out of life seems to be that intelligence is equal with agreeing with what the majority of people think.The film succeeds in doing something very rare today - developing an intelligent plot while also developing 12 believable, memorable and distinct characters."
Schindler's List,Steven Spielberg,Biography,8.9,8.7,1993,"Schindler's List is undoubtedly the best Holocaust film ever made. There just isn't anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler's List did. Schindler's List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler's List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler's List. Me n my kids cried during the pit scene."
The Lord of the Rings: The Return of the King,Peter Jackson,Adventure,8.9,8.8,2003,"Peter Jackson has done it. He has created an all-encompassing epic saga of Tolkien's Lord of the Rings books, and after coming away from the final chapter, how does this rate not only as a film on its own, but as a part of the whole?Perfect.I've never seen a series like this. A trilogy of movies created with such love and care and utter perfection of craft that you can't help but walk away and wonder how did Peter Jackson make this possible? I have always loved the original ""Star Wars"" and ""Indiana Jones"" series for their epic storytelling, and just for just fitting in as a great moment in cinema. This should be, will be, remembered with as much revered fondness for generations to come. They do not make films like these anymore.As a stand alone film, it picks up immediately where ""Two Towers"" ends, so brush up before seeing it. I've read the books, and the anticipation of seeing some of the more profound moments in this film made me kind of view it with a rushed sense of perspective. I wanted to make sure everything in this film was done ""right"". And when it happened, it was. I will need to see this again to enjoy everything on a more casual level.The cast comes through once more. The musical score retains its beauty, elegance and power. The special effects, notably Gollum again, are nothing less than breathtaking, and simply move the story along. The battles are monumentally huge and exciting. There are some liberties taken with the story, especially during the end with the homecoming, and yet, everything that needed to be covered regarding the main characters was handled. After the greatest moment of the series resolves itself, the story provided a breather. And gives a good-bye to friends seen on screen for the last three years. It was truly a bittersweet feeling in realizing that there will be no ""Rings"" movie in 2004. I will miss this talented group of actors.As with the first two, the film is very long, but goes by without you ever truly realizing it. This film is so much more than a simple ""fantasy"" epic. It's a story about strength of character, friendship, loyalty and love. And while every member of the Fellowship has their part to play, I finally understood why some critics have said this series is a story about Sam. It's his unwavering resolve that led the quest to its victory. Sean Astin is a true credit for adding the inspirational heart to this epic. As as far as the ending goes, they ended it the way that it had to be ended. Jackson ended this film the way it should have been.I will miss looking forward to a new ""Rings"" movie, but these movies provide hope that high-quality films can still be made without special effects taking over a story, bathroom humor, or a ""Top 40"" soundtrack. George Lucas could learn a lot from these films about how not to alienate the fanbase.Each film has earned a ""10"" from me for the last two years, which for me to give is a rarity. This one, however, is as equally deserving as its two predecessors. The Academy had better not look over this film for ""Best Picture"" of 2003. To do so would be greatly disrespectful of the craft and care that anyone involved with these films put into them."
Pulp Fiction,Quentin Tarantino,Crime,8.9,8.7,1994,"One of the early scenes in ""Pulp Fiction"" features two hit-men discussing what a Big Mac is called in other countries. Their dialogue is witty and entertaining, and it's also disarming, because it makes these two thugs seem all too normal. If you didn't know better, you might assume these were regular guys having chit-chat on their way to work. Other than the comic payoff at the end of the scene, in which they use parts of this conversation to taunt their victims, their talk has no relevance to anything in the film, or to anything else, for that matter. Yet without such scenes, ""Pulp Fiction"" wouldn't be ""Pulp Fiction."" I get the sense that Tarantino put into the film whatever struck his fancy, and somehow the final product is not only coherent but wonderfully textured.It's no wonder that fans spend so much time debating what was in the suitcase, reading far more into the story than Tarantino probably intended. The film is so intricately structured, with so many astonishing details, many of which you won't pick up on the first viewing, that it seems to cry out for some deeper explanation. But there is no deeper explanation. ""Pulp Fiction,"" is, as the title indicates, purely an exercise in technique and style, albeit a brilliant and layered one. Containing numerous references to other films, it is like a great work of abstract art, or ""art about art."" It has all the characteristics we associate with great movies: fine writing, first-rate acting, unforgettable characters, and one of the most well-constructed narratives I've ever seen in a film. But to what end? The self-contained story does not seem to have bearing on anything but itself.The movie becomes a bit easier to understand once you realize that it's essentially a black comedy dressed up as a crime drama. Each of the three main story threads begins with a situation that could easily form the subplot of any standard gangster movie. But something always goes wrong, some small unexpected accident that causes the whole situation to come tumbling down, leading the increasingly desperate characters to absurd measures. Tarantino's originality stems from his ability to focus on small details and follow them where they lead, even if they move the story away from conventional plot developments.Perhaps no screenplay has ever found a better use for digressions. Indeed, the whole film seems to consist of digressions. No character ever says anything in a simple, straightforward manner. Jules could have simply told Yolanda, ""Be cool and no one's going to get hurt,"" which is just the type of line you'd find in a generic, run-of-the-mill action flick. Instead, he goes off on a tangent about what Fonzie is like. Tarantino savors every word of his characters, finding a potential wisecrack in every statement and infusing the dialogue with clever pop culture references. But the lines aren't just witty; they are full of intelligent observations about human behavior. Think of Mia's statement to Vincent, ""That's when you know you've found somebody special: when you can just shut the f--- up for a minute and comfortably enjoy the silence.""What is the movie's purpose exactly? I'm not sure, but it does deal a lot with the theme of power. Marsellus is the sort of character who looms over the entire film while being invisible most of the time. The whole point of the big date sequence, which happens to be my favorite section of the film, is the power that Marsellus has over his men without even being present. This power is what gets Vincent to act in ways you would not ordinarily expect from a dumb, stoned gangster faced with an attractive woman whose husband has gone away. The power theme also helps explain one of the more controversial aspects of the film, its liberal use of the N-word. In this film, the word isn't just used as an epithet to describe blacks: Jules, for instance, at one point applies the term to Vincent. It has more to do with power than with race. The powerful characters utter the word to express their dominance over weaker characters. Most of these gangsters are not racist in practice. Indeed, they are intermingled racially, and have achieved a level of equality that surpasses the habits of many law-abiding citizens in our society. They resort to racial epithets because it's a patter that establishes their separateness from the non-criminal world.There's a nice moral progression to the stories. We presume that Vincent hesitates to sleep with Mia out of fear rather than loyalty. Later, Butch's act of heroism could be motivated by honor, but we're never sure. The film ends, however, with Jules making a clear moral choice. Thus, the movie seems to be exploring whether violent outlaws can act other than for self-preservation.Still, it's hard to find much of a larger meaning tying together these eccentric set of stories. None of the stories are really ""about"" anything. They certainly are not about hit-men pontificating about burgers. Nor is the film really a satire or a farce, although it contains elements of both. At times, it feels like a tale that didn't need to be told, but for whatever reason this movie tells it and does a better job than most films of its kind, or of any other kind."
"The Good, the Bad and the Ugly",Sergio Leone,Western,8.8,8.7,1966,"A sprawling Western epic that follows the adventures of three gunfighters looking for $200,000 in stolen gold, Sergio Leone's `The Good, the Bad, and the Ugly' is a masterpiece, one that continues to get better and better with each viewing. In a way, it's a morality play, weighing the consequences of good and evil, but it does so in a realistic manner. Sometimes, crime does pay, at least in the short term, and sometimes good does go unrewarded. This film probably signaled the death knell of the traditional John Wayne `White Hat/Black Hat' Western.The three main characters make the film. Lee Van Cleef (`The Bad') is evil personified. Totally ruthless, he'll do whatever it takes to get what he wants. Clint Eastwood (`The Good') is the Man With No Name, not really `good' in a traditional sense . . . but he has a certain sense of honor and tries to do the right thing. (Watch the scene when he gives a dying Confederate soldier a puff of his cigar - powerful, and it sums up everything that the Man With No Name is all about, without saying a single word.) Eli Wallach (`The Ugly') is Tuco, and he's easily the most complex - if not the best - character in the film. All impulse and rage, Tuco spins wildly throughout the movie, stealing, lying, pretending to be Clint Eastwood's best friend in one scene, trying to kill him in another - Tuco truly represents `the ugly' side of people.The movie is long, but there's not a wasted scene in the film. Each one slowly lets the film unfold with a certain style and grace, revealing more about each character and what's going on. The pacing is incredible, as is the direction - Sergio Leone manages to build a lot of uncomfortable tension in the film, keeping the film from ever getting predictable. Any typical Western cliché that you can possibly think of is either given a unique twist or utterly destroyed by Leone's masterful storytelling. Of special mention is Ennio Morricone's score, which is absolutely perfect. Two scenes - one in a Union prison camp, one in the climatic gunfight in the cemetery at the end of the film - are amazing on their own, but they become absolutely astonishing with combined with Morricone's powerful score. This movie is absolutely brilliant. If you haven't seen it yet, I strongly urge to do so. Immediately. (And then, go watch `Unforgiven' . . . in a way, I think that `Unforgiven' is the sequel to `The Good, the Bad, and the Ugly - it's the story of what eventually happened to the Man With No Name.) `The Good, the Bad, and the Ugly' is easily one of the best Westerns ever made. A++"
Fight Club,David Fincher,Drama,8.8,8.7,1999,"This movie is one of the greatest of all time. It is adapted from a book by Chuck Palahniuk. This movie has very interesting themes like emasculation, violence, chaos, societal breakdown, isolation, the threat of death and consumerism. The direction is sublime. Perfect cinematography, pacing and editing. The twists and nuances of the book are captured perfectly. Also they did a good job with the inter-cuts. Brad Pitt and Edward Norton were the perfect choice to lead this movie. When you are watching the movie you just are glued to your seat, that is just how good it is."
